No.,d,g_y,d_pixel,
299,2.4,320,494,
300,2.3,319,471,
301,2.4,320,556,
302,2.6,320,505,
303,2.2,318,475,
304,2.2,319,476,
305,2.1,320,462,
306,2.2,321,472,
307,2.3,319,548,
308,2.1,319,446,
309,2.3,320,478,
310,2.2,320,453,
311,2.4,319,487,
312,2.5,320,492,
313,2.3,320,475,
314,2.2,320,452,
315,2.3,317,483,
316,2.3,320,475,
317,2.2,320,457,
318,2.3,319,467,
319,2.3,319,476,
321,2.5,319,494,
322,2.5,321,491,
323,2.4,320,485,
324,2.3,320,479,
325,2.3,318,466,
326,2.3,320,475,
327,2.2,321,469,
328,2.3,320,542,
329,2.3,319,523,
330,2.3,318,467,
331,2.3,320,460,
332,2.4,320,493,
333,2.5,319,488,
334,2.2,320,495,
335,2.2,320,484,
336,2.3,320,472,
337,2.3,318,474,
338,2.2,319,480,
339,2.4,319,502,
340,2.3,321,473,
341,2.3,320,482,
342,2.1,319,455,
343,2.2,319,479,
344,2.6,320,501,
345,2.3,320,479,
346,2.2,319,462,
347,2.1,320,477,
348,2.3,320,475,
349,2.3,320,464,
350,2.2,321,467,
351,2.0,319,422,
352,2.3,316,489,
353,2.3,320,508,
354,2.3,320,464,
355,2.5,320,501,
356,2.3,320,492,
357,2.1,320,461,
358,2.3,320,475,
359,2.3,320,461,
360,2.3,320,489,
361,2.3,320,479,
362,2.3,320,472,
363,2.3,320,472,
364,2.3,320,471,
365,2.3,320,477,
366,2.2,321,449,
367,2.3,320,529,
368,2.0,320,459,
369,2.2,319,568,
370,2.3,320,540,
371,2.1,323,537,
372,2.1,319,444,
373,2.2,319,460,
374,2.3,316,467,
375,2.2,320,495,
376,2.1,320,442,
377,2.2,319,465,
378,2.1,325,532,
379,2.3,319,485,
380,1.9,318,429,
381,2.1,319,471,
382,2.0,339,447,
383,2.2,320,494,
384,2.2,322,447,
385,2.3,319,488,
386,2.2,319,459,
387,2.3,323,558,
388,2.4,319,500,
389,2.3,320,559,
390,2.2,320,475,
391,2.2,328,452,
392,2.2,320,549,
393,2.3,320,481,
394,2.2,319,464,
